"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange"
"A","Agilent Technologies, Inc.",39.54,"$12.96B",1999,"Capital Goods","Biotechnology: Laboratory Analytical Instruments","NYSE"
"AA","Alcoa Inc.",9.37,"$12.32B",NA,"Capital Goods","Metal Fabrications","NYSE"
"AA-PB","Alcoa Inc.",32.55,NA,NA,NA,NA,"NYSE"
"AAC","AAC Holdings, Inc.",18.69,"$429.6M",2014,"Health Care","Medical Specialities","NYSE"
"AAN","Aaron&#39;s,  Inc.",26.34,"$1.91B",NA,"Technology","Diversified Commercial Services","NYSE"
"AAP","Advance Auto Parts Inc",156.11,"$11.45B",NA,"Consumer Services","Other Specialty Stores","NYSE"
"AAT","American Assets Trust, Inc.",38.65,"$1.75B",2011,"Consumer Services","Real Estate Investment Trusts","NYSE"
"AAV","Advantage Oil & Gas Ltd",5.23,"$964.42M",NA,"Energy","Oil & Gas Production","NYSE"
"AB","AllianceBernstein Holding L.P.",23.56,"$2.35B",NA,"Finance","Investment Managers","NYSE"
"ABB","ABB Ltd",19.37,"$42.45B",NA,"Consumer Durables","Electrical Products","NYSE"
"ABBV","AbbVie Inc.",58.47,"$94.21B",2012,"Health Care","Major Pharmaceuticals","NYSE"
"ABC","AmerisourceBergen Corporation (Holding Co)",85.31,"$17.53B",NA,"Health Care","Other Pharmaceuticals","NYSE"
"ABEV","Ambev S.A.",5.1,"$78.02B",2013,"Consumer Non-Durables","Beverages (Production/Distribution)","NYSE"
"ABG","Asbury Automotive Group Inc",53.93,"$1.33B",2002,"Consumer Durables","Automotive Aftermarket","NYSE"
"ABM","ABM Industries Incorporated",32.07,"$1.8B",NA,"Finance","Diversified Commercial Services","NYSE"
"ABR","Arbor Realty Trust",6.68,"$340.43M",2004,"Consumer Services","Real Estate Investment Trusts","NYSE"
"ABR-PA","Arbor Realty Trust",24.1769,NA,NA,NA,NA,"NYSE"
"ABR-PB","Arbor Realty Trust",22.12,NA,NA,NA,NA,"NYSE"
"ABR-PC","Arbor Realty Trust",24.3,NA,NA,NA,NA,"NYSE"
"ABRN","Arbor Realty Trust",24.9626,NA,2014,"Consumer Services","Real Estate Investment Trusts","NYSE"
"ABT","Abbott Laboratories",42.37,"$62.42B",NA,"Health Care","Major Pharmaceuticals","NYSE"
"ABX","Barrick Gold Corporation",15.18,"$17.69B",NA,"Basic Industries","Precious Metals","NYSE"
"AC","Associated Capital Group, Inc.",28.75,"$708.27M",2015,"Finance","Investment Bankers/Brokers/Service","NYSE"
"ACC","American Campus Communities Inc",46.64,"$6.08B",2004,"Consumer Services","Real Estate Investment Trusts","NYSE"
"ACCO","Acco Brands Corporation",8.63,"$911.83M",NA,"Consumer Durables","Publishing","NYSE"
"ACG","ALLIANCEBERNSTEIN INCOME FUND INC",7.9,"$1.92B",NA,NA,NA,"NYSE"
"ACH","Aluminum Corporation of China Limited",8.21,"$4.89B",2001,"Basic Industries","Aluminum","NYSE"
"ACM","AECOM",29.56,"$4.51B",2007,"Consumer Services","Military/Government/Technical","NYSE"
"ACN","Accenture plc",112.83,"$72.96B",2001,"Miscellaneous","Business Services","NYSE"
"ACP","Avenue Income Credit Strategies Fund",10.8,"$141.2M",2011,NA,NA,"NYSE"
