"Exchange","Symbol","ceo"
"NasdaqGS","ACOR","Ron Cohen M.D."
"NasdaqGS","AKAM","F. Thomson Leighton"
"NYSE","ARE","Joel S. Marcus J.D., CPA"
"NasdaqGS","AMZN","Jeffrey P. Bezos"
"NasdaqGS","AAPL","Timothy D. Cook"
"NasdaqGS","AREX","J. Ross Craft"
"NYSE","BRK.A","Warren E. Buffett"
"NYSE","BMR",NA
"NYSE","BLK","Laurence D. Fink"
"NYSE","COF","Richard D. Fairbank"
"NasdaqGS","CERN","Neal L. Patterson"
"NYSE","CLH","Alan S. McKim"
"NasdaqGS","CY","Hassane El-Khoury"
"NasdaqGS","DWA",NA
"NasdaqGS","EXLS","Rohit Kapoor"
"NYSE","FN","David T. Mitchell"
"NasdaqGS","FB","Mark Zuckerberg"
"NYSE","FDX","Frederick W. Smith"
"NasdaqGS","FORR","George F. Colony"
"NasdaqGS","FTNT","Ken Xie"
"NasdaqGS","GNCMA","Ronald A. Duncan"
"NasdaqGS","GNTX","Fred Bauer"
"NYSE","GDOT","Steven W. Streit"
"NYSE","HCI","Paresh Patel"
"NYSE","HR","Todd J. Meredith"
"NasdaqGS","HSTM","Robert A. Frist Jr."
"NYSE","HOS","Todd M. Hornbeck"
"NYSE","NSP","Paul J. Sarvadi"
"NasdaqGS","IPAR","Jean Madar"
"NasdaqGS","IBKR","Thomas Peterffy"
"NasdaqGS","ININ","Donald E Brown M.D."
"NYSE","ICE","Jeffrey C. Sprecher"
"NYSE","IPI","Robert P. Jornayvaz III"
"NasdaqGS","IPCM",NA
"NasdaqGS","IPGP",NA
"NasdaqGS","IRBT","Colin M. Angle"
"NasdaqGS","JJSF","Gerald B. Shreiber"
"NasdaqGS","KOPN","John C.C. Fan Ph.D."
"NYSE","LB","Leslie H. Wexner"
"NasdaqGS","TREE",NA
"NasdaqGS","LHCG","Keith G. Myers"
"NasdaqGS","LQDT","William P. Angrick III"
"NasdaqGS","LPSN","Robert P. LoCascio"
"NasdaqGS","LOGM","William R. Wagner"
"NYSE","LL",NA
"NasdaqGS","MANT","George J. Pedersen"
"NasdaqGS","MASI","Joseph E. Kiani"
"NYSE","MPW","Edward K. Aldag Jr."
"NasdaqGS","MDSO","Tarek A. Sherif"
"NYSE","MD","Roger J. Medel M.D."
"NYSE","MTH","Steven J. Hilton"
"NasdaqGS","MPWR","Michael R. Hsing"
"NasdaqGS","NATI","Alexander M. Davern"
"NasdaqGS","NFLX","Reed Hastings"
"NasdaqGS","NTGR","Patrick C. S. Lo"
"NasdaqGS","NTCT","Anil K. Singhal"
"AMEX","NOG","Thomas W. Stoelk"
"NasdaqGS","NVDA","Jen-Hsun Huang"
"NYSE","ORCL","Safra A. Catz"
"NYSE","OA",NA
"NasdaqGS","PNRA","Ronald M. Shaich"
"NasdaqGS","PZZA","John H. Schnatter"
"NasdaqGS","PSEM",NA
"NasdaqGS","PRAA","Steven D. Fredrickson"
"NasdaqGS","REGN","Leonard S. Schleifer M.D., Ph.D."
"NYSE","RMD","Michael J. Farrell"
"NasdaqGS","REXX","Thomas Charles Stabley"
"NYSE","CRM","Marc Russell Benioff"
"NasdaqGS","SNDK",NA
"NasdaqGS","SANM","Jure Sola"
"NasdaqGS","SCSC","Michael L. Baur"
"NYSE","SLH",NA
"NYSE","SAH","B. Scott Smith"
"NasdaqGS","SBUX","Howard Schultz"
"NasdaqGS","STLD","Mark D. Millett"
"NasdaqGS","SMCI","Charles Liang"
"NasdaqGM","SUPN","Jack A. Khattar"
"NasdaqGS","SNCR","Stephen G. Waldis"
"NasdaqGS","TNGO","James D. Foy"
"NasdaqGS","TASR","Patrick W. Smith"
"NasdaqGS","TXRH",NA
"NasdaqGS","ENSG","Christopher R. Christensen"
"NYSE","GEO",NA
"NasdaqGS","HAIN","Irwin David Simon"
"NasdaqGS","ULTI","Scott S. Scherr"
"NasdaqGS","TRIP","Stephen Kaufer"
"NYSE","UA","Kevin A. Plank"
"NasdaqGS","URBN","Richard A. Hayne"
"NasdaqCM","VDSI","T. Kendall Hunt"
"NasdaqGS","VASC","Howard C. Root"
"NasdaqGS","WOOF","Robert L. Antin"
"NasdaqGS","VRSN","D James Bidzos"
"NasdaqGS","VSAT","Mark D. Dankberg"
"NasdaqGS","VRTU","Krishan A. Canekeratne"
"NYSE","WRB","Shasi Gangadharan"
"NasdaqGS","WERN","Derek J. Leathers"
"NasdaqGS","WFM","John P. Mackey"
"NasdaqGS","WYNN","Stephen A. Wynn"
